"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2011","122.55","122.55","122.55","122.55","0.23K","-2.58%"
"08/01/2011","125.80","125.80","125.80","125.80","0.71K","1.57%"
"07/01/2011","123.85","123.85","123.85","123.85","0.38K","0.98%"
"06/01/2011","122.65","122.65","122.65","122.65","0.67K","0.41%"
"05/01/2011","122.15","122.15","122.15","122.15","0.23K","-4.90%"
"04/01/2011","128.45","128.45","128.45","128.45","0.13K","0.82%"
"03/01/2011","127.40","120.00","120.00","120.00","0.59K","6.03%"
"02/01/2011","120.15","119.35","119.35","118.50","0.63K","1.39%"
"01/01/2011","118.50","118.50","118.50","118.50","0.46K","-4.70%"
"12/01/2010","124.35","115.85","120.75","115.85","0.38K","8.75%"
"11/01/2010","114.35","114.35","114.35","114.35","0.37K","15.62%"
"10/01/2010","98.90","98.90","98.90","98.90","0.47K","2.63%"
"09/01/2010","96.37","96.37","96.37","96.37","0.58K","5.61%"
"08/01/2010","91.25","91.25","91.25","91.25","0.15K","-1.62%"
"07/01/2010","92.75","92.75","92.75","92.75","0.12K","-1.75%"
"06/01/2010","94.40","94.40","94.40","94.40","0.12K","5.24%"
"05/01/2010","89.70","89.70","89.70","89.70","0.59K","7.17%"
"04/01/2010","83.70","83.70","83.70","83.70","0.32K","11.01%"
"03/01/2010","75.40","75.40","75.40","75.40","0.19K","-0.26%"
"02/01/2010","75.60","75.60","75.60","75.60","0.23K","-11.79%"
"01/01/2010","85.70","85.70","85.70","85.70","0.22K","2.51%"
"12/01/2009","83.60","83.60","83.60","83.60","0.35K","8.08%"
"11/01/2009","77.35","77.35","77.35","77.35","0.09K","4.32%"
"10/01/2009","74.15","74.15","74.15","74.15","0.03K","4.58%"
"09/01/2009","70.90","70.90","70.90","70.90","0.10K","0.71%"
"08/01/2009","70.40","70.40","70.40","70.40","0.10K","3.99%"
"07/01/2009","67.70","67.70","67.70","67.70","0.31K","7.72%"
"06/01/2009","62.85","62.85","62.85","62.85","0.74K","0.16%"
"05/01/2009","62.75","62.75","62.75","62.75","0.24K","3.63%"
"04/01/2009","60.55","60.55","60.55","60.55","0.79K","-5.24%"
"03/01/2009","63.90","63.90","63.90","63.90","0.07K","-7.39%"
